date,text,title
2020-05-16,"J.K. Rowling has been drinking a lot and you'd better believe she has some thoughts on Bitcoin.
NotedTERF and author of The Cuckoos Calling, Rowlingdecided Friday was the perfect time to learn about… [+2124 chars]",J.K. Rowling is four cocktails in and talking trash about Bitcoin
2020-06-04,If youre planning to do some protesting and you dont want to risk your expensive smartphone in the processor you simply want to keep yourself as anonymous as possible while youre outconsider buying a… [+5568 chars],How to Buy a Burner Phone
2020-05-28,"Reuters
<ul><li>Goldman Sachs gave five reasons why it thinks bitcoin is ""not an asset class"" nor ""a suitable investment"" in a presentation Wednesday morning.</li><li>Goldman observed that the crypt… [+3412 chars]","Goldman Sachs lists 5 reasons why bitcoin is 'not an asset class', nor 'a suitable investment' (BTCUSD)"
2020-06-02,"<ul><li>Famed investor Michael Novogratz tweeted on Monday that bitcoin will soon take out the $10,000 resistance level, telling his followers, ""Get on the train.""</li><li>Novogratz said that turmoil… [+2757 chars]","'Get on the train': Famed investor Michael Novogratz says bitcoin will soon break the $10,000 threshold as US turmoil spreads (BTCUSD)"
2020-05-25,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3004 chars]",Satoshi Nakaboto: ‘Bitcoin continues downtrend with 5% loss in one day’
2020-05-26,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the … [+3041 chars]",Satoshi Nakaboto: ‘Visa approves launch of crypto debit card in Europe’
2020-05-22,"Opinions expressed by Entrepreneur contributors are their own.
Despite recent price volatility and global macroeconomic uncertainty, 2020 is a big year for Bitcoin. Although a large number of busine… [+6168 chars]",8 Reasons Why This Could Be the Time to Take Bitcoin Seriously
2020-05-28,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3009 chars]",Satoshi Nakaboto: ‘Bitcoin is a bad investment according to Goldman Sachs’
2020-05-22,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+2953 chars]","Satoshi Nakaboto: ‘Bitcoin whale moves $400M, pays $2.50 fee’"
2020-05-27,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+2941 chars]",Satoshi Nakaboto: ‘S&P 500 outperformed Bitcoin over the past year’
2020-06-03,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3328 chars]","Satoshi Nakaboto: ‘Bitcoin plummets almost $700 in an hour, back below $10K’"
2020-05-15,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3034 chars]",Satoshi Nakaboto: ‘Bitcoin rises 5% for second consecutive day’
2020-06-02,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+2940 chars]","Satoshi Nakaboto: ‘Bitcoin hits $10,000 again after corona freefall’"
2020-06-05,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3070 chars]","Satoshi Nakaboto: ‘Bitcoin on its way back to $10,000’"
2020-05-18,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+2949 chars]",Satoshi Nakaboto: ‘Bitcoin transaction fees surged 800% in one month’
2020-05-20,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3056 chars]",Satoshi Nakaboto: ‘VC firm Andreessen Horowitz predicts explosive Bitcoin growth’
2020-06-04,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3058 chars]",Satoshi Nakaboto: ‘Traders accuse Coinbase of pulling the plug when Bitcoin makes sharp moves’
2020-05-29,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in … [+3000 chars]",Satoshi Nakaboto: ‘Winklevoss deal brings BTC trade to Samsung users in US and Canada’
2020-06-03,"In mid-May, YouTube channel Barely Sociable, with nearly 400,000 subscribers, released a 40-minute video claiming that 49-year-old Back is Satoshi. The video has since raked up nearly 300,000 views. … [+945 chars]",Latest Satoshi Nakamoto Candidate Buying Bitcoin No Matter What
2020-05-20,Editors note:Andreessen Horowitzs Crypto Startup School brought together 45 participants from around the U.S. and overseas in a seven-week course to learn how to build crypto companies. Andreessen Ho… [+2503 chars],Crypto Startup School: How to scale companies using crypto
